event_no,layer_num,0
2046,4.0,104
1689,5.0,104
5553,5.0,104
5188,5.0,104
1245,3.0,104
2217,3.0,104
436,4.0,104
5132,4.0,104
1247,5.0,104
1170,3.0,104
6243,4.0,104
3356,4.0,104
5355,5.0,104
3936,5.0,104
3566,4.0,104
1587,2.0,104
4815,4.0,104
2485,5.0,104
2686,3.0,104
2683,4.0,104
3158,4.0,104
49,3.0,104
5576,5.0,104
5649,5.0,104
5281,3.0,104
5042,5.0,104
5582,5.0,104
5229,4.0,104
6388,3.0,104
772,3.0,104
2737,4.0,104
5278,3.0,104
4420,3.0,104
4458,3.0,104
4707,4.0,104
4456,4.0,104
781,4.0,104
885,5.0,104
2563,4.0,104
67,3.0,104
5099,4.0,104
6163,4.0,104
3007,2.0,104
2635,1.0,104
5648,4.0,104
2984,5.0,104
4712,5.0,104
5622,2.0,103
3984,4.0,103
2947,5.0,103
6326,2.0,103
1888,4.0,103
4092,2.0,103
1209,5.0,103
323,5.0,103
4266,4.0,103
3434,3.0,103
2712,4.0,103
4653,5.0,103
3327,4.0,103
4459,4.0,103
1746,5.0,103
4924,3.0,103
1315,3.0,103
1300,4.0,103
2240,5.0,103
1058,5.0,103
4801,3.0,103
5659,5.0,103
2536,5.0,103
3983,3.0,103
2636,3.0,103
4035,4.0,103
879,5.0,103
4444,4.0,103
2364,5.0,103
710,4.0,103
3189,5.0,103
5846,5.0,103
516,5.0,103
787,2.0,103
583,5.0,103
5114,5.0,103
5265,5.0,103
2610,3.0,103
2381,4.0,103
1696,4.0,103
2199,4.0,103
5448,5.0,103
4903,3.0,103
6237,2.0,103
1041,4.0,103
5708,3.0,103
2945,5.0,103
4851,5.0,103
5374,4.0,103
1682,5.0,103
4007,3.0,103
5793,5.0,103
231,4.0,103
3206,4.0,103
3710,3.0,103
5633,5.0,103
5822,4.0,103
5782,5.0,103
5624,2.0,103
1665,4.0,103
3848,2.0,103
6326,5.0,103
1877,5.0,103
4929,5.0,103
2003,1.0,103
2822,3.0,103
5288,5.0,103
232,4.0,103
5309,4.0,103
2515,3.0,103
3485,4.0,103
5140,4.0,103
5282,4.0,103
2033,5.0,103
5534,4.0,103
658,5.0,103
1239,5.0,103
1589,4.0,103
444,5.0,103
2513,4.0,103
5466,3.0,103
2284,4.0,103
2285,4.0,103
2027,5.0,103
3125,5.0,103
2394,5.0,103
4308,4.0,103
4311,4.0,103
221,4.0,103
3854,5.0,103
832,3.0,103
5570,4.0,103
3954,5.0,103
5788,5.0,103
3969,3.0,103
4527,5.0,103
3166,5.0,103
848,3.0,103
2297,5.0,103
3855,5.0,103
3495,5.0,103
5798,3.0,103
4404,3.0,103
601,5.0,103
2935,5.0,103
4436,4.0,103
1235,5.0,103
4590,5.0,103
4392,3.0,103
1273,4.0,103
2660,3.0,103
5617,2.0,103
4730,3.0,103
4331,3.0,103
3809,5.0,103
4713,4.0,103
2253,4.0,103
1932,4.0,103
5294,5.0,103
3014,5.0,103
2966,4.0,103
1600,3.0,103
979,5.0,103
1933,4.0,103
1180,4.0,103
1755,4.0,103
37,5.0,103
4355,3.0,103
2684,4.0,103
3855,4.0,103
1565,5.0,103
1229,3.0,103
6098,5.0,103
2399,4.0,102
3605,5.0,102
3148,4.0,102
5738,2.0,102
3091,5.0,102
4165,3.0,102
3989,4.0,102
2410,4.0,102
4716,3.0,102
3987,5.0,102
1827,4.0,102
2568,3.0,102
4423,5.0,102
3140,5.0,102
5341,4.0,102
5107,3.0,102
1982,5.0,102
2071,4.0,102
3569,5.0,102
824,4.0,102
4119,4.0,102
404,5.0,102
1278,5.0,102
2808,2.0,102
5359,4.0,102
2494,4.0,102
5861,5.0,102
3171,4.0,102
1946,3.0,102
5762,5.0,102
6062,5.0,102
1245,4.0,102
2506,4.0,102
2505,4.0,102
5509,4.0,102
2497,4.0,102
5270,5.0,102
4377,3.0,102
1853,3.0,102
6397,3.0,102
16,5.0,102
1855,5.0,102
2423,3.0,102
5146,5.0,102
2115,5.0,102
4008,2.0,102
3593,5.0,102
1322,5.0,102
2482,5.0,102
1870,4.0,102
4010,5.0,102
3193,3.0,102
2550,4.0,102
4756,5.0,102
2545,4.0,102
4138,4.0,102
1229,4.0,102
408,5.0,102
1891,4.0,102
1370,5.0,102
3417,5.0,102
5209,5.0,102
1507,4.0,102
2631,3.0,102
1444,5.0,102
4733,3.0,102
4361,4.0,102
1592,5.0,102
5037,5.0,102
1504,3.0,102
894,5.0,102
2676,3.0,102
5577,4.0,102
